Glottocode,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,sufficient_data_flagging,sufficient_data_indexing,Comment
fuln1247,Fulniô,South America,-9.02591,-37.1402,fun,,True,True,
tonk1249,Tonkawa,North America,30.25,-96.75,tqw,,True,True,
klam1254,Klamath-Modoc,North America,42.5861,-121.704,kla,,True,True,
natc1249,Natchez,North America,31.75,-91.33,ncz,,True,True,no pronouns are used for S/A/P
cams1241,Camsá,South America,1.14537,-76.8931,kbh,,True,True,
muni1258,Muniche,South America,-5.7441796,-76.426712,myr,,True,True,
trum1247,Trumai,South America,-11.8119,-53.5717,tpy,,True,True,
niha1238,Nihali,Eurasia,21.1886,76.3318,nll,,True,True,
cofa1242,Cofán,South America,0.276675,-77.0643,con,,True,True,
shab1252,Shabo,Africa,7.64407,35.223,sbf,,True,True,
cuit1236,Cuitlatec,North America,18.1,-100.5,cuy,,True,True,
sand1273,Sandawe,Africa,-5.26918,35.4808,sad,,True,True,
kusu1250,Kusunda,Eurasia,28.33,82.6,kgg,,True,True,
tabo1241,Tabo,Papunesia,-8.09387,143.305,knv,,True,True,
duna1248,Duna,Papunesia,-5.41439,142.475,duc,,True,True,
zuni1245,Zuni,North America,35.0056,-108.782,zun,,True,True,
puin1248,Puinave,South America,3.92974,-67.6886,pui,,True,True,
chim1301,Chimariko,North America,41.0,-123.0,cid,,True,True,
kuot1243,Kuot,Papunesia,-3.06952,151.537,kto,,True,True,
yuch1247,Yuchi,North America,35.75,-86.75,yuc,,True,True,
paez1247,Páez,South America,2.61516,-76.31254,pbb,,True,True,
tiwi1244,Tiwi,Australia,-11.6308,130.949,tiw,,True,True,
leco1242,Leco,South America,-15.0092,-67.8818,lec,,True,True,
guat1253,Guató,South America,-17.8696,-57.2897,gta,,True,True,
buru1296,Burushaski,Eurasia,36.2161,74.8236,bsk,,True,True,
nara1262,Nara,Africa,15.3251,37.499,nrb,,True,True,
sume1241,Sumerian,Eurasia,31.3,45.6667,sux,,True,True,
esse1238,Esselen,North America,36.5473,-121.867,esq,,True,True,
iton1250,Itonama,South America,-12.80431,-64.35748,ito,,True,True,
hadz1240,Hadza,Africa,-3.83115,35.0458,hts,,True,True,
moch1259,Mochica,South America,-8.01667,-79.0,omc,,True,True,
sius1254,Siuslaw,North America,42.5111,-124.379,sis,,True,True,
tuni1252,Tunica,North America,30.9888,-92.5403,tun,,True,True,
lavu1241,Lavukaleve,Papunesia,-9.05569,159.119,lvk,,True,True,
timu1245,Timucua,North America,30.3027,-82.3132,tjm,,True,True,
sulk1246,Sulka,Papunesia,-5.03471,151.891,sua,,True,True,
maib1239,Maybrat-Karon,Papunesia,-1.3679,132.591,ayz,,True,True,
bert1248,Berta,Africa,10.6474,34.7042,wti,,True,True,
yura1255,Yuracaré,South America,-16.7479,-65.1224,yuz,,True,True,
basq1248,Basque,Eurasia,43.2787,-1.31622,eus,,True,True,
wage1238,Wageman,Australia,-13.8627,131.893,waq,,True,True,
cayu1262,Cayubaba,South America,-13.2482,-65.4822,cyb,,True,True,
iran1263,Irántxe-Münkü,South America,-12.7178,-57.9806,irn,,True,True,
taia1239,Taiap,Papunesia,-4.05047,144.506,gpn,,True,True,
kari1254,Kariri,South America,-7.434628,-40.487275,,,True,False,"Information in the grammar does not allow to understand the indexation. Although the absolutive argument seems to be indexed, the conditions under which this indexation occurs is unclear. It seems that 1st & 2nd person are more regularly indexed than 3rd person, and it seems that indexation mostly occurs in non-past (i.e. non exemplar) events."
pira1253,Pirahã,South America,-6.77713,-61.8167,myp,,True,True,
bang1363,Bangime,Africa,14.8116,-3.77092,dba,,True,True,
coah1252,Coahuilteco,North America,28.2589,-97.89,xcw,,True,False,description insufficient to produce a report for indexing. 
hatt1246,Hattic,Eurasia,40.4,34.6,xht,,True,True,The language lacks free pronouns
mose1249,Mosetén-Chimané,South America,-14.64448,-67.83756,cas,,True,True,
take1257,Takelma,North America,42.423,-123.452,tkm,,True,True,
sali1253,Salinan,North America,37.6646,-121.718,sln,,True,True,
seri1257,Seri,North America,28.9877,-112.384,sei,,True,True,
movi1243,Movima,South America,-13.8115,-65.6348,mzp,,True,True,
mola1238,Molale,North America,44.556,-122.857,mbe,,True,True,
siam1242,Siamou,Africa,10.998,-4.92143,sif,,True,True,
ando1256,Andoque,South America,-0.53751,-72.0869,ano,,True,True,Andoque has a very small group of attributive verbs that behave differently than all other verbs. However most attributive verbs behave normally and the divide is not semantically motivated. We have not considered this a case of split alignment along a stative/active divide.
urar1246,Urarina,South America,-4.44006,-75.4211,ura,,True,True,
karo1304,Karuk,North America,41.8228,-123.315,kyh,,True,True,
wara1303,Warao,South America,7.50851,-59.3528,wba,,True,True,
savo1255,Savosavo,Papunesia,-9.12853,159.814,svs,,True,True,
kwaz1243,Kwaza,South America,-11.6667,-61.1833,xwa,,True,True,
kute1249,Kutenai,North America,48.7892,-115.065,kut,,True,True,
kuna1268,Kunama,Africa,14.5879,37.5292,kun,,True,True,
abun1252,Abun,Papunesia,-0.57073,132.416,kgr,,True,True,
wash1253,Washo,North America,38.8184,-119.64,was,,True,True,
kano1245,Kanoê,South America,-12.1789,-64.5812,kxo,,True,False,"the two grammars (bacelar2004kanoe:220; bacelar2023kanoe:667-668) have slightly different accounts, but the main issue is that some examples contradict the prose. Alignment SEEMS (1) neutral for the exemplar, more specifically unmarked alignment for past perfective events; (2) accusative (S and A indexation), and, (3) for a subcategory of verb, namely the mental process verbs like 'like', 'think', etc) it seems to be accusative with object indexation too."
bilu1245,Bilua,Papunesia,-7.92388,156.663,blb,,True,True,
laal1242,Laal,Africa,10.0063,17.6143,gdm,,True,True,
alse1251,Alsea-Yaquina,North America,44.408,-123.94,aes,,True,True,
yana1271,Yana,North America,39.2769,-121.608,ynn,,True,True,
gaga1251,Gaagudju,Australia,-12.5176,132.643,gbu,,True,True,
pech1241,Pech,North America,15.8033,-85.558,pay,Chibchan,True,True,
nucl1633,Nimboran,Papunesia,-2.5803,140.179,nir,Nimboranic,True,True,
goon1238,Gooniyandi,Australia,-18.4073,126.351,gni,Bunaban,True,True,
agua1253,Aguaruna,South America,-5.30044,-77.9218,agr,Chicham,True,True,
ward1246,Wardaman,Australia,-15.4155,132.604,wrr,Yangmanic,True,True,
nucl1327,Limilngan,Australia,-12.4294,131.845,lmc,Limilngan-Wulna,True,False,"no coding possible for indexing, gaps in the local scenarios of the co-argument sensitive paradigm"
yagu1244,Yagua,South America,-3.42913,-72.2186,yad,Peba-Yagua,True,True,
chip1262,Chipaya,South America,-18.73951,-67.89633,cap,Uru-Chipaya,True,True,
kitj1240,Kitja,Australia,-17.5758,127.392,gia,Jarrakan,True,True,
chiq1248,Lomeriano-Ignaciano Chiquitano,South America,-16.769554,-61.817795,cax,Chiquitano,True,True,
kala1400,Central Kalapuya,North America,44.9861,-123.925,kyl,Kalapuyan,True,True,
wint1259,Wintu,North America,39.7176,-122.445,wit,Wintuan,True,True,
ngar1284,Ngarinyin,Australia,-16.4006,126.433,ung,Worrorran,True,True,
gara1269,Garrwa,Australia,-17.4504,137.72014,wrk,Garrwan,True,True,
bell1243,Bella Coola,North America,52.3448,-126.689,blc,Salishan,True,True,
wiyo1248,Wiyot,North America,39.2492,-122.952,wiy,Algic,True,True,
yuro1248,Yurok,North America,41.3262,-123.824,yur,Algic,True,True,
cadd1256,Caddo,North America,33.33,-93.5,cad,Caddoan,True,True,no pronouns are used fo S/A/P
nort2951,Northwest Maidu,North America,39.6721,-121.368,mjd,Maiduan,True,True,
maun1240,Mawng,Australia,-11.66,133.376,mph,Iwaidjan Proper,True,True,
sout2982,Southeastern Pomo,North America,38.9354,-122.599,pom,Pomoan,True,True,
tlin1245,Tlingit,North America,59.4447,-135.29,tli,Athabaskan-Eyak-Tlingit,True,True,
cacu1241,Kakua,South America,0.88778,-69.5659,cbv,Kakua-Nukak,True,True,
chay1248,Shawi,South America,-5.63764,-76.8252,cbt,Cahuapanan,True,True,
nort2745,Northern Yukaghir,Eurasia,70.498,157.853,ykg,Yukaghir,True,True,
kana1291,Katukína-Kanamarí,South America,-6.45399,-68.7678,knm,Katukinan,True,True,
murr1258,Murriny Patha,Australia,-14.74852,129.70152,mwf,Southern Daly,True,True,
gily1242,Amur Nivkh,Eurasia,52.59,140.681,niv,Nivkh,True,True,
amar1274,Amarakaeri,South America,-12.4931,-70.5533,amr,Harakmbut,True,True,
kamu1258,Kamu,Australia,-13.5393,131.098,xmu,Eastern Daly,True,True,
pure1242,Purepecha,North America,19.2467,-101.631,tsz,Tarascan,True,True,
sout2956,Southern Haida,North America,53.2616,-132.008,hax,Haida,True,True,no pronouns used for 3sgPro-low S/A
wapp1239,Wappo,North America,38.25,-122.5,wao,Yuki-Wappo,True,True,
yuki1243,Northern Yukian,North America,39.8389,-123.296,yuk,Yuki-Wappo,True,True,
shek1245,Sheko,Africa,7.05022,35.2826,she,Dizoid,True,True,
misk1235,Mískito,North America,15.1576,-84.2942,miq,Misumalpan,True,True,
achu1247,Achumawi,North America,41.0979,-121.191,acv,Palaihnihan,True,True,
chol1284,Cholón,South America,-9.23129,-75.9621,cht,Hibito-Cholon,True,True,
benc1235,Bench,Africa,7.04682,35.7673,bcq,Ta-Ne-Omotic,True,True,
coos1249,Hanis,North America,43.4413,-124.16,csz,Coosan,True,True,
mull1237,Mullukmulluk,Australia,-13.427,130.664,mpb,Northern Daly,True,True,
cher1273,Cherokee,North America,35.4664,-83.163,chr,Iroquoian,True,True,no pronouns are used for 3rd person S/A/P
kiow1266,Kiowa,North America,34.9403,-98.9042,kio,Kiowa-Tanoan,True,True,
toll1241,Tol,North America,14.6686,-87.0372,jic,Jicaquean,True,True,
quil1240,Quileute,North America,47.9106,-124.603,qui,Chimakuan,True,True,
ticu1245,Ticuna,South America,-3.66289,-69.8723,tca,Ticuna-Yuri,True,True,
nucl1649,Southern-Coastal Tsimshian,North America,52.59103,-128.544545,tsi,Tsimshian,True,True,"No pronouns in A role can be realized; in dependent clauses, Series I (rather than Series III) is used for indexing A."
ofay1240,Ofayé,South America,-22.278,-53.7227,opy,Nuclear-Macro-Je,True,True,
rikb1245,Rikbaktsa,South America,-11.1887,-58.1942,rkb,Nuclear-Macro-Je,True,True,
kara1500,Karajá,South America,-11.1881,-50.3492,kpj,Nuclear-Macro-Je,True,True,
mapu1245,Mapudungun,South America,-38.7392,-71.277,arn,Araucanian,True,True,
cree1270,Creek,North America,31.0,-87.5,mus,Muskogean,True,True,
bora1263,Bora,South America,-2.000259,-72.257066,boa,Boran,True,True,
high1242,Highland Oaxaca Chontal,North America,16.1849,-95.7301,chd,Tequistlatecan,True,True,
mang1381,Mangarrayi,Australia,-14.8,133.5,mpc,Mangarrayi-Maran,True,True,
west2632,Western Keres,North America,34.9733,-107.517,kjq,Keresan,True,True,no pronouns for S/A/P roles
sali1298,Sáliba,South America,5.30115,-69.3843,slc,Saliban,True,True,
olut1240,Oluta Popoluca,North America,17.8937,-94.8863,plo,Mixe-Zoque,True,True,
nuuc1236,Nuu-chah-nulth,North America,49.67,-126.67,nuk,Wakashan,True,True,
zapa1253,Záparo,South America,-1.99871,-76.364,zro,Zaparoan,True,True,
ainu1240,Hokkaido Ainu,Eurasia,43.633654,142.46167,ain,Ainu,True,True,
sand1278,San Dionisio del Mar Huave,North America,16.3514,-94.7001,hve,Huavean,True,True,
boro1282,Bororo,South America,-16.6029,-55.2004,bor,Bororoan,True,True,
koyr1242,Koyraboro Senni Songhai,Africa,16.9634,-0.55187,ses,Songhay,True,True,
waim1253,Waimiri-Atroari,South America,-0.61832,-60.4259,atr,Cariban,True,True,
shas1239,Shasta,North America,41.7587,-122.738,sht,Shastan,True,True,
xinc1242,Xinca-Chiquimulilla,North America,14.083301,-90.380259,,Xincan,True,True,
huas1242,Huastec,North America,21.6153,-98.5028,hus,Mayan,True,True,
miri1266,Miriwung,Australia,-16.3596,128.889,mep,Jarrakan,True,True,
qawa1238,Qawasqar,South America,-49.303195,-74.707536,alc,Kawesqar,True,True,
jaqa1244,Jaqaru,South America,-12.741939,-75.809231,jqr,Aymaran,True,True,
sout2996,Southern Aymara,South America,-17.1417,-70.3442,ayc,Aymaran,True,True,
tomm1242,Tommo So Dogon,Africa,14.756,-3.28,dto,Dogon,True,True,
akab1249,Akabea,Eurasia,12.3782,92.7818,abj,Great Andamanese,True,True,
hopi1249,Hopi,North America,35.7653,-110.535,hop,Uto-Aztecan,True,True,
chin1286,Clatsop-Shoalwater Chinook,North America,45.1729,-119.166,chh,Chinookan,True,True,
urni1239,Urningangg,Australia,-13.4766,133.023,urc,Giimbiyu,True,False,description insufficient to produce a report for indexing. 
aleu1260,Aleut,North America,52.1228,-174.29,ale,Eskimo-Aleut,True,True,
pali1279,Palikúr,South America,3.63993,-51.6246,plu,Arawakan,True,True,
siks1238,Siksika,North America,49.0669,-113.109,bla,Algic,True,True,
djam1255,Jaminjung-Ngaliwurru,Australia,-15.0558,130.06,djd,Mirndi,True,True,
wich1260,Wichita,North America,35.0665,-98.1831,wic,Caddoan,True,True,Wichita has no free pronouns (rood1976wichita: 10)
roto1249,Rotokas,Papunesia,-5.94339,155.154,roo,North Bougainville,True,True,
niva1238,Nivaclé,South America,-22.8557,-61.7606,cag,Matacoan,True,True,
cata1286,Catawba,North America,34.9685,-80.8857,chc,Siouan,True,False,"Report completed, but not sufficient to code for indexing. There are gaps in the paradigm and there is no way to fill them. Also, there is no certainty as to the distribution of zeros."
juho1239,South-Eastern Ju,Africa,-19.688,20.7673,ktz,Kxa,True,True,
kett1243,Ket,Eurasia,63.7551,87.5466,ket,Yeniseian,True,True,
awac1239,Awa-Cuaiquer,South America,1.21652,-78.3401,kwi,Barbacoan,True,True,
eyak1241,Eyak,North America,60.4232,-144.762,eya,Athabaskan-Eyak-Tlingit,True,True,
sout2750,Southern Yukaghir,Eurasia,64.218,154.375,yux,Yukaghir,True,True,
tehu1242,Tehuelche,South America,-47.5796,-68.3235,teh,Chonan,True,True,
