"ParameterID","FeatureSet","Name","Question","PossibleStates","datatype","Derived"
"NounPoss-02","NounPoss","Possession classes semantic types","What are the semantic types of the possession classes?","; separated list of [ default:_frequency_, conceptually inalienable:_frequency_, conceptually non-possessible:_frequency_, mixed:_frequency_ ]","""frequency""","FALSE"
"NounPoss-03","NounPoss","Conceptually inalienable classes number","How many conceptually inalienable possession classes are there?","_number_","""integer""","FALSE"
"NounPoss-03a","NounPoss","Conceptually inalienable","Is there at least one conceptually inalienable class?","yes | no","""single-valued""","TRUE"
"NounPoss-03b","NounPoss","Conceptually inalienable and obligatorily possessed","If there is at least one conceptually inalienable class (i.e. if <yes> to NounPoss-03a), is there at least one which is obligatorily possessed in terms of valence?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-03c","NounPoss","Kinship without body","If there is at least one conceptually inalienable class (i.e. if <yes> to NounPoss-03a), is there at least one class that consists of kinship terms without body part terms?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-03d","NounPoss","Body without kinship","If there is at least one conceptually inalienable class (i.e. if <yes> to NounPoss-03a), is there at least one class that consists of body part terms without kinship terms?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-04","NounPoss","Conceptually nonpossessible classes number","How many conceptually non-possessible possession classes are there?","_number_","""integer""","FALSE"
"NounPoss-04a","NounPoss","Conceptually nonpossessible if 2+","If there are at least two possession classes, is there at least one conceptually non-possessible class?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-04b","NounPoss","Conceptually nonpossessible and nonpossessible valence","If there is at least one conceptually non-possessible class (i.e. if <yes> to NounPoss-04a), is there at least one which is non-possessible in terms of valence?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-05","NounPoss","Mixed classes number","How many mixed possession classes are there?","_number_","""integer""","FALSE"
"NounPoss-06","NounPoss","Inalienable semantic categories","What are the semantic categories included in conceptually inalienable classes?","NA | ; separated list of [ body, kin, part, relation, intimate_property ]","""multi-valued""","FALSE"
"NounPoss-07","NounPoss","Nonpossessible semantic categories","What are the semantic categories included in conceptually non-possessible classes?","NA | ; separated list of [ plants, nature_inanimate, humans, animals, names ]","""multi-valued""","FALSE"
"NounPoss-08","NounPoss","Default possession construction","What are the nominal possession constructions used for the default possession class?","; list of [ PSSR, PSSD, PSSR and PSSD, LINKER, JUXT, CLAUSE, CLASS, NULL, UNKNOWN ]","""multi-valued""","FALSE"
"NounPoss-08a","NounPoss","Default class PSSR marking","If the default class is possessed with some type of MARKER construction, does this include PSSR marking?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-08b","NounPoss","Default class PSSD marking","If the default class is possessed with some type of MARKER construction, does this include PSSD marking?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-08c","NounPoss","Default class locus of marking","If the default class is possessed with some type of MARKER construction that is not a LINKER construction, what is the locus of this marker or markers?","NA | PSSR | PSSD | PSSR and PSSD","""single-valued""","TRUE"
"NounPoss-09","NounPoss","Inalienable possession construction","What are the nominal possession constructions used for conceptually inalienable classes, if present?","NA | ; list of [ PSSR, PSSD, PSSR and PSSD, LINKER, JUXT, CLAUSE, CLASS, NULL, UNKNOWN ]","""multi-valued""","FALSE"
"NounPoss-10","NounPoss","Nonpossessible possession construction","What are the nominal possession constructions used for conceptually non-possessible classes, if present?","NA | ; list of [ PSSR, PSSD, PSSR and PSSD, LINKER, JUXT, CLAUSE, CLASS, NULL, UNKNOWN ]","""multi-valued""","FALSE"
"NounPoss-11","NounPoss","Inalienable unpossession","If there is a conceptually inalienable possession class, what are its unpossession constructions?","NA | ; separated list of [ Noun, NULL, SPECIAL_MARKER, ARTICLE, 1SG, 1PL, 1INCL, 3, 3SG, 3SG.N, 3SG.F, 3SG.M, 3.INAN, 3.INDEF ]","""multi-valued""","FALSE"
"NounPoss-12","NounPoss","JUXT construction classes","Is there a JUXT possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-12a","NounPoss","JUXT construction classes binned","Is there a JUXT possession construction and if so, with what class(es) is it associated?”","no JUXT | default plus | only inalienables","""single-valued""","TRUE"
"NounPoss-13","NounPoss","PSSR construction classes","Is there a  PSSR possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-14","NounPoss","PSSD construction classes","Is there a PSSD possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-15","NounPoss","PSSR-PSSD construction classes","Is there a PSSR and PSSD possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-16","NounPoss","CLAUSE construction classes","Is there a CLAUSE possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-16a","NounPoss","CLAUSE construction presence","Is there a CLAUSE possession construction?","yes | no","""single-valued""","TRUE"
"NounPoss-17","NounPoss","CLASS construction classes","Is there a CLASS possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-17a","NounPoss","CLASS construction classes binned","Is there a CLASS possession construction and if so, with what class(es) is it associated?","none | default plus | only non-possessibles","""single-valued""","TRUE"
"NounPoss-18","NounPoss","PSSD agreement with PSSR","If any head-marking construction is used (PSSD or PSSR and PSSD), does the possessed noun contain any agreement with the possessor?","NA | yes | no","""single-valued""","FALSE"
"NounPoss-19","NounPoss","PSSD with no agreement","If any head-marking is present (PSSD or PSSR and PSSD), is there any morpheme which only marks the possessed noun without agreeing with the possessor?","NA | yes | no","""single-valued""","FALSE"
"NounPoss-20","NounPoss","Possession suppletion","Does possession ever involve stem suppletion?","yes | no","""single-valued""","FALSE"
"NounPoss-20a","NounPoss","Possession suppletion if 2+","If there are two or more possession classes, does possession ever involve stem suppletion?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-21","NounPoss","Optionally possessed classes number","How many possession classes of optionally possessed nouns (in terms of valence) are there?","_number_","""integer""","FALSE"
"NounPoss-22","NounPoss","Obligatorily possessed classes number","How many possession classes of obligatorily possessed nouns (in terms of valence) are there?","_number_","""integer""","FALSE"
"NounPoss-23","NounPoss","Obligatorily possessed with dedicated unpossession","If there is at least one obligatorily possessed class, can it be unpossessed via a dedicated (non-person) marker?","NA | yes | no","""single-valued""","FALSE"
"NounPoss-24","NounPoss","Nonpossessible valence classes number","How many possession classes of non-possessible nouns (in terms of valence) are there?","_number_","""integer""","FALSE"
"NounPoss-25","NounPoss","Default class valence","What is the valency of the default class?","non-possessible | obligatorily possessed | optionally possessed","""single-valued""","FALSE"
"NounPoss-26","NounPoss","Inalienable class valence","If there are conceptually inalienable classes, what are their valencies?","NA | ; separated list of [ non-possessible:_frequency_, obligatorily possessed:_frequency_, optionally possessed:_frequency_ ]","""frequency""","FALSE"
"NounPoss-27","NounPoss","Nonpossessible class valence","If there are conceptually non-possessible classes, what are their valencies?","NA | ; separated list of [ non-possessible:_frequency_, obligatorily possessed:_frequency_, optionally possessed:_frequency_ ]","""frequency""","FALSE"
"NounPoss-28","NounPoss","Mixed class valence","If there are mixed classes, what are their valencies?","NA | ; separated list of [ non-possessible:_frequency_, obligatorily possessed:_frequency_, optionally possessed:_frequency_ ]","""frequency""","FALSE"
"Ppron-001","Ppron","Free pronouns","Does the language have personal pronouns?","yes | no","""single-valued""","FALSE"
"Ppron-002","Ppron","Pronoun paradigm encodes all","Does the selected paradigm encode all distinctions in person marking (clusivity, plurality, etc) that the language makes?","yes-auto | yes | no","""single-valued""","FALSE"
"Ppron-003","Ppron","Clusivity in indexation only","If the selected paradigm does not encode clusivity, is clusivity marked elsewhere in the language?","NA | yes | no","""single-valued""","FALSE"
"Ppron-01","Ppron","Clusivity in pronouns","Does the language distinguish between 1incl (1+2) and 1excl (1+3)?","NA | yes | no","""single-valued""","FALSE"
"Ppron-01a","Ppron","Clusivity anywhere","Does the language have a clusivity distinction anywhere?","NA | yes | no","""single-valued""","TRUE"
"Ppron-02","Ppron","1 = 1+3","Is the first singular (1) identical with first exclusive (1+3) (or with “unified we” if there is no inclusive-exclusive distinction)?","NA | yes | no","""single-valued""","FALSE"
"Ppron-03","Ppron","1 = 1+2 = 1+3","If the language does not have a clusivity distinction (i.e. if <no> to Ppron-01), does it use for all “we” contexts (1+2, 1+3, 1+2+3) the same form used for “I” (1sg)?","NA | yes | no","""single-valued""","FALSE"
"Ppron-04","Ppron","1pl endonym type","Is the form of the first person plural (inclusive, exclusive, unified we) related to the endonym of the people?","NA | inclusive | exclusive | unified we | no","""single-valued""","FALSE"
"Ppron-04a","Ppron","1pl endonym","Is the endonym of the people related to a 1st person plural form?","NA | yes | no","""single-valued""","TRUE"
"Ppron-05","Ppron","Minimal-augmented","If the language distinguishes between 1incl & 1excl (i.e. if <yes> to Ppron-01), does the 1incl (1+2) behave like another person?","NA | yes | no","""single-valued""","FALSE"
"Ppron-06","Ppron","1sg-1excl relationship","If there is no unified 1st person (i.e., if <no> to Ppron-02), what is the morphological relationship between the 1st person exclusive (or unified we) and 1sg?","NA | 1excl or pl is 1sg plus pl | 1excl or pl includes 1sg | no relation","""single-valued""","FALSE"
"Ppron-06a","Ppron","1excl and 1sg related","If 1sg is distinct from 1pl (i.e. if <no> to Ppron-02), are the 1sg form and the 1excl (or unified we) morphologically related?","NA | yes | no","""single-valued""","TRUE"
"Ppron-06b","Ppron","1excl = 1 + pl","If 1sg and 1excl (or unified we) are morphologically related (i.e. if <yes> to Ppron-06a), is the 1excl (or unified we) derived from 1sg with pluralizing morphology?","NA | yes | no","""single-valued""","TRUE"
"Ppron-07","Ppron","1sg-1incl relationship","If <no> to Ppron-05, what is the morphological relationship between the 1st person inclusive and 1sg?","NA | 1incl is 1sg plus pl | 1incl includes 1sg | no relation","""single-valued""","FALSE"
"Ppron-07a","Ppron","1incl and 1sg related","If there is a clusivity distinction (i.e. if <yes> to Ppron-01), are 1sg and 1incl morphologically related?","NA | yes | no","""single-valued""","TRUE"
"Ppron-07b","Ppron","1incl = 1 + pl","If 1sg and 1incl are morphologically related (i.e. if <yes> to Ppron-07a), is the 1st person inclusive derived from 1sg with pluralizing morphology?","NA | yes | no","""single-valued""","TRUE"
"Ppron-08","Ppron","2sg = 2pl","Can the same form be used for 2nd person singular (or minimal) and 2nd person plural (or augmented) contexts?","NA | yes | no","""single-valued""","FALSE"
"Ppron-08a","Ppron","If 1sg ≠ 1pl, 2sg = 2pl","If 1sg is distinct from 1pl (i.e. if <no> to Ppron-02), can the same form be used for 2sg (or minimal) and 2pl (or augmented) contexts?","NA | yes | no","""single-valued""","TRUE"
"Ppron-09","Ppron","3sg = 3pl","Can the same form be used for 3rd person singular (or minimal) and 3rd person plural (or augmented) contexts?","NA | no | yes","""single-valued""","FALSE"
"Ppron-09a","Ppron","If 2sg ≠ 2pl, 3sg = 3pl","If 2sg is distinct from 2pl (i.e. if <no> to Ppron-08a), can the same form be used for 3sg (or minimal) and 3pl (or augmented) contexts?","NA | yes | no","""single-valued""","TRUE"
"SgPl-01","SgPl","Sg-Pl alternation","Does the language have lexically limited Sg-Pl stem alternation in verbs?","yes | no","""single-valued""","FALSE"
"SgPl-01a","SgPl","Sg-Pl alternation or irregular monoexponential plural","Does the language have one or both of Sg-Pl alternation and irregular monoexponential plurals?","Sg-Pl | irregular MonoPl | Sg-Pl and irregular MonoPl | none","""single-valued""","TRUE"
"SgPl-01b","SgPl","Sg-Pl verb or morphology alternation","Does the language have Sg-Pl alternation in either lexical verbs or verbal morphology?","yes | no","""single-valued""","TRUE"
"SgPl-02","SgPl","Sg-Pl pattern","If <yes> to SgPl-01, is there a regular pattern among at least some of these verbs to derive the plural meaning?","NA | yes | no common pattern","""single-valued""","FALSE"
"SgPl-03","SgPl","Sg-Pl pattern number","If <yes> to SgPl-02, how many verb pairs have a regular pattern?","NA | _number_","""integer""","FALSE"
"SgPl-04","SgPl","Sg-Pl suppletion","If <yes> to SgPl-01, is there root suppletion among at least some of the verbs to derive the plural meaning?","NA | yes | no","""single-valued""","FALSE"
"SgPl-05","SgPl","Sg-Pl suppletion number","If <yes> to SgPl-04, how many Sg-Pl verb pairs are suppletive?","NA | _number_","""integer""","FALSE"
"SgPl-06","SgPl","Sg-Pl suppletion semantics","If <yes> to SgPl-04, is at least some of this root suppletion associated with the expected semantics (Posture, Motion, die/sleep/eat/cry/kill)?","NA | yes | no","""single-valued""","FALSE"
"SgPl-07","SgPl","Sg-Pl transitivity","If <yes> to SgPl-01, do the verb pairs involve intransitive roots only, transitive roots only, or both?","NA | intransitive | transitive | both","""single-valued""","FALSE"
"SgPl-07a","SgPl","Sg-Pl intransitive verbs","If <yes> to SgPl-01, do the verb pairs include intransitive roots?","NA | yes | no","""single-valued""","TRUE"
"SgPl-07b","SgPl","Sg-Pl transitive verbs","If <yes> to SgPl-01, do the verb pairs include transitive roots?","NA | yes | no","""single-valued""","TRUE"
"SgPl-08","SgPl","Sg-Pl posture","If <yes> to SgPl-01, does any pair involve the semantics of Spontaneous or Caused Posture?","NA | yes | no","""single-valued""","FALSE"
"SgPl-09","SgPl","Sg-Pl posture number","If <yes> to SgPl-04, how many verb pairs of Spontaneous or Caused Posture are suppletive?","NA | _number_","""integer""","FALSE"
"SgPl-10","SgPl","Sg-Pl motion","If <yes> to SgPl-01, does any pair involve the semantics of Spontaneous or Caused Motion?","NA | yes | no","""single-valued""","FALSE"
"SgPl-11","SgPl","Sg-Pl motion number","If <yes> to SgPl-04, how many verbs pairs of Spontaneous or Caused Motion are suppletive?","NA | _number_","""integer""","FALSE"
"SgPl-12","SgPl","Sg-Pl further semantics","If <yes> to SgPl-01, what other salient semantics (apart from Posture and Motion) is present in this list of verbs (both in regular and suppletive alternation)?","none | NA | [ location , expected , property , other ]","""multi-valued""","FALSE"
"SgPl-13","SgPl","Sg-Pl cry/die/kill/sleep/eat number","If <yes> to SgPl-04, how many verb pairs with suppletive alternations are from 'cry', 'die', 'kill', 'sleep', and 'eat'?","NA | _number_","""integer""","FALSE"
"SgPl-14","SgPl","Sg-Pl other number","If <yes> to SgPl-01, how many verb pairs with suppletive alternations are different from 'cry', 'die', 'kill', 'sleep', and 'eat', Posture, and Motion?","NA | _number_","""integer""","FALSE"
"SgPl-15","SgPl","Sg-Pl shared pl forms","If <yes> to SgPl-01, do multiple different Sg verbs share a Pl verb form (e.g., sg 'sit' + sg 'lie' share a plural 'sit/lie')?","NA | yes | no","""single-valued""","FALSE"
"SgPl-16","SgPl","Sg-Pl intr type","If intransitive pairs are attested in the language (i.e. if <intransitive> or <both> to SgPl-07), what kind of intransitive verbs have the Sg-Pl alternation?","NA | unaccusative | unergative | both","""single-valued""","FALSE"
"SgPl-16a","SgPl","Sg-Pl unergative","If intransitive pairs are attested in the language, do unergative verbs supplete?","NA | yes | no","""single-valued""","TRUE"
"SgPl-16b","SgPl","Sg-Pl unaccusative","If intransitive pairs are attested in the language, do unaccusative verbs supplete?","NA | yes | no","""single-valued""","TRUE"
"SgPl-17","SgPl","Sg-Pl transitive argument","If transitive pairs are attested in the language  (i.e. if <transitive> or <both> to SgPl-07), which argument is plural?","NA | a | p | either | both","""single-valued""","FALSE"
"SgPl-18","SgPl","Sg-Pl number","If <yes> to SgPl-01, what are the number semantics of the Sg-Pl contrast?","NA | [ sg-pl , paucal-many , individual-collective , sg-du-pl , sg-paucal-pl ]","""multi-valued""","FALSE"
"SgPl-18a","SgPl","Sg-Pl tripartite","If singular-plural alternation is attested in the language, do at least some verbs have a tripartite distinction?","NA | yes | no","""single-valued""","TRUE"
"SgPl-19","SgPl","Sg-Pl morphology","Does the language have inflectional or derivational verbal morphology (affixes, clitics, or auxiliaries) with a distinct plural form? (Elements only encoding number are excluded.)","yes | no","""single-valued""","FALSE"
"SgPl-20","SgPl","Sg-Pl pluractional","If <yes> to SgPl-01, can the pairs also mark aspectual meanings like pluractionality / aspect / iterativity?","NA | yes | no","""single-valued""","FALSE"
"SgPl-21","SgPl","Sg-Pl adj","If <yes> to SgPl-01, does the language have a lexically limited Sg-Pl stem alternation in adjectives?","NA | yes | property concept verbs | no","""single-valued""","FALSE"
"SocCaus-01","SocCaus","Sociative causation","Does the language have a dedicated construction to express sociative causation?","yes | no","""single-valued""","FALSE"
"SocCaus-02","SocCaus","Sociative causation dedicated construction","If <yes> to SocCaus-01, what type of construction is sociative causation expressed with?","NA | morpheme | special causee | dir-and-indir-caus | caus-and-appl | caus-and-other","""single-valued""","FALSE"
"SocCaus-03","SocCaus","Sociative causation semantics","If <yes> to SocCaus-01, what sociative causation semantic subtypes are attested?","NA | [ joint action , assistive , supervision ]","""multi-valued""","FALSE"
"SocCaus-04","SocCaus","Sociative causation motion","If <yes> to SocCaus-01, what kind of verb semantics is the sociative causative construction attested with?","NA | motion | non-motion | both","""single-valued""","FALSE"
"SocCaus-05","SocCaus","Sociative causation transitivity","If <yes> to SocCaus-01, what is the transitivity of the verb roots attested with the sociative causative construction?","NA | intransitive | transitive | both","""single-valued""","FALSE"
"SocCaus-06","SocCaus","Sociative causation animacy","If <yes> to SocCaus-01, what is the animacy value of the causees attested with the sociative causative construction?","NA | animate | inanimate | both","""single-valued""","FALSE"
"SocCaus-07","SocCaus","Sociative causation non-dedicated construction","What verbal grammatical construction(s) can express sociative causation (apart from a dedicated construction)?","| [dir-caus:_frequency_ , indir-caus:_frequency_ , rec:_frequency_ , appl:_frequency_ , copart:_frequency_ , other:_frequency_]","""frequency""","FALSE"
"Syll-01","Syll","Onset number","What is the maximal onset/word-initial pattern, in number of consonants?","_number_","""integer""","FALSE"
"Syll-02","Syll","Coda number","What is the maximal coda/word-final pattern, in number of consonants?","_number_","""integer""","FALSE"
"Syll-03","Syll","Syllable consonant number","What is the sum of the maximal onset/word-initial and coda/word-final patterns?","_number_","""integer""","FALSE"
"Syll-04","Syll","Syllable complexity","What syllable structure complexity category describes the language?","s | mc | c | hc","""single-valued""","FALSE"
"Syll-05","Syll","Onset structure","What is the maximal onset structure?","c | cg | ccplus","""single-valued""","FALSE"
"Syll-06","Syll","Coda structure","What is the maximal coda pattern of the language?","nocoda | sonorant | simple | complex","""single-valued""","FALSE"
"ToneProm-01","ToneProm","Accent","Does the language have at least one system of syllable/mora prominence constrained to the prosodic word? (i.e. an accent system)","yes | no","""single-valued""","FALSE"
"ToneProm-01a","ToneProm","Contrastive accent","If you have one or more accentual systems, is at least one of them contrastive?","contrastive | non-contrastive | NA","""single-valued""","TRUE"
"ToneProm-02","ToneProm","Accent correlates by system","If yes to ToneProm-01, how many word-demarcating prominence (accent) systems are there in the language, and what is/are their primary correlate(s)?","NA | [ amplitude & pitch & duration ]","""single-valued""","FALSE"
"ToneProm-02a","ToneProm","Accent correlates","If there is at least one prominence system, what is/are their primary correlates?","; separated list of [ amplitude, pitch, duration ] | NA","""multi-valued""","TRUE"
"ToneProm-03","ToneProm","Pitch accent","If yes to ToneProm-01, is there an accent system primarily realised through pitch height distinctions?","yes | no | NA","""single-valued""","FALSE"
"ToneProm-04","ToneProm","Pitch accent contrastiveness","If yes to ToneProm-03, is the pitch-based accent system contrastive or non-contrastive?","contrastive | non-contrastive | NA","""single-valued""","FALSE"
"ToneProm-05","ToneProm","Amplitude accent","If yes to ToneProm-01, is there an accent system primarily realised through amplitude/loudness distinctions (e.g. English)?","yes | no | NA","""single-valued""","FALSE"
"ToneProm-06","ToneProm","Amplitude accent contrastiveness","If yes to ToneProm-05, is the amplitude-based accent system contrastive or non-contrastive?","contrastive | non-contrastive | NA","""single-valued""","FALSE"
"ToneProm-07","ToneProm","Duration accent","If yes to ToneProm-01, is there an accent system primarily realised through duration or syllable weight?","yes | no | NA","""single-valued""","FALSE"
"ToneProm-08","ToneProm","Duration accent contrastiveness","If yes to ToneProm-07, is the duration-based accent system contrastive or non-contrastive?","contrastive | non-contrastive | NA","""single-valued""","FALSE"
"ToneProm-09","ToneProm","Tone","Does the language have lexical or grammatical tone in the sense of being necessarily referenced in the phonology/grammar of the language?","yes | no","""single-valued""","FALSE"
"ToneProm-09a","ToneProm","Pitch accent or tone","Does the language have pitch accent or tone?","yes | no","""single-valued""","TRUE"
"ToneProm-09b","ToneProm","Contrastive pitch accent or tone","Does the language have contrastive pitch accent or tone?","yes | no","""single-valued""","TRUE"
"ToneProm-10","ToneProm","Tone type","If yes to ToneProm-09, is the system a lexical tone system or a grammatical tone system?","lexical | grammatical | both | NA","""single-valued""","FALSE"
"ToneProm-11","ToneProm","Tone number","If yes to ToneProm-09, how many tonal contrasts (tonemes) are described?","_number_ | NA","""integer""","FALSE"
"ToneProm-11a","ToneProm","Tone number = 2 | > 2","Are there 2 or more than 2 tones distinguished?","2 | more than 2 | NA","""single-valued""","TRUE"
"ToneProm-11b","ToneProm","Tone number <= 3 | > 3","Are there up to 3 or more than 3 tones distinguished?","up to 3 | more than 3 | NA","""single-valued""","TRUE"
"ToneProm-11c","ToneProm","Tone number <= 4 | > 4","Are there up to 4 or more than 4 tones distinguished?","up to 4 | more than 4 | NA","""single-valued""","TRUE"
"ToneProm-12","ToneProm","Tone and phonation","If yes to ToneProm-09, are tone categories inherently linked with phonation types?","yes | no | NA","""single-valued""","FALSE"
"VelUv-01","VelUv","Velar and uvular plosives","Does the language have a phonemic distinction between velar and uvular plosives?","yes | no","""single-valued""","FALSE"
"VelUv-01a","VelUv","Velar/uvular distinction","Does the language have a velar-uvular distinction in either plosives or fricatives?","yes | no","""single-valued""","TRUE"
"VelUv-02","VelUv","Velar and uvular continuants","Does the language have a phonemic distinction between velar and uvular continuants?","yes | no","""single-valued""","FALSE"
"VelUv-02a","VelUv","Velar and uvular continuants if plosives","If yes to VelUv-01, is there a velar-uvular distinction in the continuants as well?","yes | no | NA","""single-valued""","TRUE"
"WO-01","WO","Clause order","What is the word order for non-marked transitive clauses?","no dominant order | svo | sov | vso | ovs | osv | vos | v-first | v-last | s-last | other","""single-valued""","FALSE"
"WO-01a","WO","Fixed word order","Is there a dominant or fixed standard word order in main declarative transitive clauses?","yes | no","""single-valued""","TRUE"
"WO-01b","WO","Order of S and V","What is the order of S and V, if there is a dominant order?","NA | S>V | V>S","""single-valued""","TRUE"
"WO-01c","WO","Order of S and O","What is the order of S and O, if there is a dominant order?","NA | S>O | O>S","""single-valued""","TRUE"
"WO-01d","WO","Order of V and O","What is the order of V and O, if there is a dominant order?","NA | V>O | O>V","""single-valued""","TRUE"
"WO-01e","WO","First clausal element","What is the first element in a transitive clause?","no dominant order | s-first | v-first | o-first","""single-valued""","TRUE"
"WO-01f","WO","S-first order","If the first element is S, what is the full word order?","NA | svo | sov","""single-valued""","TRUE"
"WO-01g","WO","V-first order","If the first element is V, what is the full word order?","NA | vso | vos","""single-valued""","TRUE"
"WO-01h","WO","O-first order","If the first element is O, what is the full word order?","NA | ovs | osv","""single-valued""","TRUE"
"WO-02","WO","Attr order","What is the common and basic word order for Attributive and Noun?","attr-n | n-attr | no dominant order | NA","""single-valued""","FALSE"
"WO-03","WO","Possession order","What is the common and basic word order for Possessor (sometimes, ""genitive"") and Possessed (noun) for the open class of nouns?","pssr-pssd | pssd-pssr | no dominant order | NA","""single-valued""","FALSE"
